Feature,Class,Probability,MeanBeta
BA121,8,0.673,0.29222123588687543
BA122,0,0.686,0.28273554647794097
BA122,1,0.683,0.3229297670937392
BA122,2,0.675,0.291183658150289
BA122,3,0.726,0.36224498406719513
BA122,4,0.533,0.04582860574152584
BA122,5,0.586,0.14495664666025174
BA122,6,0.674,0.304899586481448
BA122,7,0.688,0.31557212929698497
BA122,8,0.672,0.28887477892415664
BA123,0,0.41,-0.1331624415595522
BA123,1,0.31,-0.2658847612964126
BA123,2,0.587,0.1380652665374227
BA123,3,0.23,-0.46243925311315687
BA123,4,0.282,-0.34334491242414744
BA123,5,0.363,-0.19294629179204645
BA123,6,0.404,-0.13590178138757503
BA123,7,0.414,-0.11527114406468802
BA123,8,0.92,0.9134924262806474
BA126,0,0.671,0.2874210060488134
BA126,1,0.679,0.28851532106249667
BA126,2,0.651,0.281723275204956
BA126,3,0.666,0.2795295487146565
BA126,4,0.688,0.3006414286398467
BA126,5,0.666,0.2738043741514059
BA126,6,0.664,0.2835279407743673
BA126,7,0.66,0.2580805325686899
BA126,8,0.677,0.28680975961281835
BA127,0,0.644,0.26215516136803796
BA127,1,0.669,0.2671829456862079
BA127,2,0.669,0.2874925323955759
BA127,3,0.667,0.26810607330974773
BA127,4,0.679,0.2851574898750482
BA127,5,0.659,0.27232260825476834
BA127,6,0.655,0.23693028707361893
BA127,7,0.661,0.23901872960737272
BA127,8,0.677,0.26752044538174474
BA128,0,0.51,0.01446482129115773
BA128,1,0.521,0.013821697976461015
BA128,2,0.481,-0.036846343229459635
BA128,3,0.5,-0.007355659788372337
BA128,4,0.484,-0.01719632089004625
BA128,5,0.485,-0.007062291227356706
BA128,6,0.482,-0.014020982981987541
BA128,7,0.5,-0.0023829857730965024
BA128,8,0.544,0.06110031062087333
BA129,0,0.242,-0.43241419209764925
BA129,1,0.196,-0.506942752131101
BA129,2,0.91,0.8579575239974818
BA129,3,0.615,0.1713428433076125
BA129,4,0.663,0.280204856523186
BA129,5,0.268,-0.3850598096590488
BA129,6,0.272,-0.3392429788607065
BA129,7,0.33,-0.2478654813402411
BA129,8,0.773,0.4514321213566295
BA130,0,0.676,0.28582625597331224
BA130,1,0.647,0.2474594623170424
BA130,2,0.694,0.30480587421252775
BA130,3,0.706,0.2891717307716112
BA130,4,0.679,0.319518005873043
BA130,5,0.689,0.27620024585341496
BA130,6,0.678,0.281724382214845
BA130,7,0.631,0.24107694026439763
BA130,8,0.627,0.22194902296877866
BA139,0,0.468,-0.03349146830429282
BA139,1,0.709,0.3534585521747863
BA139,2,0.678,0.27964491868377034
BA139,3,0.144,-0.6654062277580081
BA139,4,0.808,0.538872988164975
BA139,5,0.697,0.3292591858668697
BA139,6,0.232,-0.47821093678219867
BA139,7,0.231,-0.45327826417956624
BA139,8,0.9,0.7886867803389523
BA142,0,0.297,-0.35959132728400034
BA142,1,0.543,0.05425526053707324
BA142,2,0.612,0.18618365973866047
BA142,3,0.797,0.4993659140531103
BA142,4,0.635,0.22172158658384716
BA142,5,0.457,-0.09148957950583148
BA142,6,0.285,-0.36289803134846377
BA142,7,0.232,-0.4437309581214485
BA142,8,0.914,0.8568077629802122
BA143,0,0.771,0.47722450147346
BA143,1,0.689,0.25999449954285087
BA143,2,0.623,0.20861930232325931
BA143,3,0.678,0.29472900695467014
BA143,4,0.703,0.33638643839791366
BA143,5,0.698,0.31865436596639235
BA143,6,0.47,-0.055969199282631124
BA143,7,0.575,0.13370073383768077
BA143,8,0.676,0.2636288918298042
BA146,0,0.432,-0.09943589942698652
BA146,1,0.466,-0.04530919957432145
BA146,2,0.401,-0.14680340151215013
BA146,3,0.435,-0.09743727927374751
BA146,4,0.438,-0.0758006353284659
BA146,5,0.488,-0.011089061468659112
BA146,6,0.509,0.008767660247113437
BA146,7,0.487,-0.008227004519498643
BA146,8,0.774,0.4667918707593366
BA148,0,0.438,-0.07082295314014896
BA148,1,0.475,-0.033192511977772246
BA148,2,0.434,-0.10026906565653232
BA148,3,0.448,-0.06835753142545857
BA148,4,0.437,-0.09141388664434459
BA148,5,0.44,-0.0748148432443532
BA148,6,0.486,-0.022512743545831587
BA148,7,0.528,0.03933044170991224
BA148,8,0.808,0.48169424051859416
BA150,0,0.684,0.2926301762288314
BA150,1,0.671,0.2692204873737094
BA150,2,0.671,0.2836182471578067
BA150,3,0.659,0.2575589213512614
BA150,4,0.681,0.28647188424658543
BA150,5,0.672,0.2598871726766185
BA150,6,0.667,0.273867895040221
BA150,7,0.671,0.27012204778275994
BA150,8,0.659,0.27209989602192625
BA151,0,0.458,-0.08306488129966337
BA151,1,0.455,-0.04582177368614306
BA151,2,0.451,-0.05817006639456916
BA151,3,0.463,-0.03785428594849919
BA151,4,0.452,-0.0729180936040759
BA151,5,0.492,-0.022799654335929467
BA151,6,0.49,-0.035815097278443765
BA151,7,0.506,-0.012301485146482547
BA151,8,0.692,0.25620580593233006
BA152,0,0.501,-0.003224071958438545
BA152,1,0.472,-0.030367058685875217
BA152,2,0.493,-0.005279682473533892
BA152,3,0.458,-0.06765710114686643
BA152,4,0.469,-0.0420042621956856
BA152,5,0.5,-0.0045042635642720905
BA152,6,0.517,0.024906251093162655
BA152,7,0.482,-0.034342119120936626
BA152,8,0.621,0.1567767688465743
BA153,0,0.654,0.26512612826772075
BA153,1,0.656,0.2565131135862255
BA153,2,0.663,0.2658716087013451
BA153,3,0.694,0.30391998369035167
BA153,4,0.645,0.26038243652602056
BA153,5,0.681,0.2848331134378807
BA153,6,0.659,0.2575750014886757
BA153,7,0.657,0.2602053901528975
BA153,8,0.684,0.2809113212519601
BA154,0,0.679,0.3063515597038362
BA154,1,0.672,0.2622629033403038
BA154,2,0.68,0.2853599444042172
BA154,3,0.684,0.30687593071869607
BA154,4,0.658,0.2555159977123531
BA154,5,0.666,0.25422403911698227
BA154,6,0.644,0.2523955577142293
BA154,7,0.646,0.2373664722178094
BA154,8,0.67,0.2807319707102015
BA157,0,0.686,0.2981233885342292
BA157,1,0.706,0.33490743826527597
BA157,2,0.666,0.28384101810473844
BA157,3,0.685,0.28696016091708626
BA157,4,0.678,0.26964869295309335
BA157,5,0.656,0.27816164398977355
BA157,6,0.651,0.23533293921376017
BA157,7,0.634,0.25445668397141136
BA157,8,0.664,0.24882069175378513
BA162,0,0.266,-0.37674243558428766
BA162,1,0.28,-0.32941361876051106
BA162,2,0.802,0.5308958221968437
BA162,3,0.705,0.3385628226285511
BA162,4,0.719,0.3648141734737574
BA162,5,0.457,-0.09346878261121004
BA162,6,0.515,0.017783035746945824
BA162,7,0.228,-0.4496912380874184
BA162,8,0.847,0.6402074295268282
BA164,0,0.656,0.27215148916740706
BA164,1,0.683,0.3048530052702433
BA164,2,0.681,0.29938235601035923
BA164,3,0.68,0.2748518801792259
BA164,4,0.654,0.27160856153429996
BA164,5,0.681,0.26920694005162277
BA164,6,0.655,0.26326268231140415
BA164,7,0.633,0.24185915160402632
BA164,8,0.665,0.27864740690073875
BA165,0,0.661,0.2718168964265568
BA165,1,0.672,0.3035725257722599
BA165,2,0.649,0.2526376160657721
BA165,3,0.635,0.23002528673145478
BA165,4,0.69,0.2937111078196435
BA165,5,0.664,0.27900265496071874
BA165,6,0.674,0.2636007323085155
BA165,7,0.693,0.2969505355900622
BA165,8,0.653,0.25878713327435404
BA172,0,0.508,0.01299208974301526
BA172,1,0.525,0.016333564786699097
BA172,2,0.513,0.014047674177823623
BA172,3,0.472,-0.02175135689960248
BA172,4,0.472,-0.03677346291054681
BA172,5,0.488,-0.016426715128602356
BA172,6,0.493,-0.01214646984885025
BA172,7,0.485,-0.015555147523153606
BA172,8,0.544,0.034570288690780805
BA180,0,0.663,0.2831502082726502
BA180,1,0.655,0.28782802246711214
BA180,2,0.69,0.29441317919095783
BA180,3,0.69,0.3203629923004426
BA180,4,0.655,0.2831840491849019
BA180,5,0.662,0.28468389284118517
BA180,6,0.673,0.2791130049177111
BA180,7,0.662,0.2815162299004787
BA180,8,0.666,0.27661280951658307
BA185,0,0.447,-0.0684665088622662
BA185,1,0.465,-0.05206930327840413
BA185,2,0.424,-0.08231962062919705
BA185,3,0.402,-0.14783175507316154
BA185,4,0.424,-0.08123605518758421
BA185,5,0.47,-0.05442530988445203
BA185,6,0.494,0.0013255129638609633
BA185,7,0.47,-0.04236375359339261
BA185,8,0.799,0.49545598334287116
BA190,0,0.253,-0.46563080006390556
BA190,1,0.18,-0.5590219368947148
BA190,2,0.678,0.27758114167227654
BA190,3,0.297,-0.32176047722685375
BA190,4,0.577,0.08029491129414679
BA190,5,0.376,-0.19625988518917312
BA190,6,0.296,-0.347095733913128
BA190,7,0.279,-0.3433160716382127
BA190,8,0.956,1.085504183171885
BA191,0,0.686,0.32207390088509547
BA191,1,0.67,0.26099108543837285
BA191,2,0.66,0.27193783040507474
BA191,3,0.667,0.26130480812722506
BA191,4,0.687,0.2778095067216779
BA191,5,0.66,0.29712593362371903
BA191,6,0.677,0.26900214660745436
BA191,7,0.662,0.27177075897540914
BA191,8,0.657,0.26677972046552795
BA192,0,0.678,0.30791657369149683
BA192,1,0.633,0.2453630767115287
BA192,2,0.646,0.2540092739708274
BA192,3,0.699,0.32494326232584975
BA192,4,0.658,0.2666782026247722
BA192,5,0.579,0.1245823751470844
BA192,6,0.672,0.2735143295608792
BA192,7,0.658,0.28146331118874934
BA192,8,0.711,0.3197031673441232
BA198,0,0.67,0.2861776479498864
BA198,1,0.653,0.27533137126127905
BA198,2,0.653,0.2537942590670129
BA198,3,0.647,0.2571047444398794
BA198,4,0.622,0.21090167459276662
BA198,5,0.647,0.2635625251337276
BA198,6,0.669,0.26247518623890953
BA198,7,0.664,0.2921693476638986
BA198,8,0.663,0.2633014413300525
BA200,0,0.474,-0.04964768843613034
BA200,1,0.478,-0.05121241523008757
BA200,2,0.44,-0.10320370196458402
BA200,3,0.427,-0.1005632141689369
BA200,4,0.449,-0.074108581846085
BA200,5,0.442,-0.06730767353496535
BA200,6,0.485,-0.0253409465338484
BA200,7,0.46,-0.03724698609038239
BA200,8,0.8,0.5082985172447388
BA201,0,0.265,-0.3610774246625694
BA201,1,0.289,-0.3246911028631337
BA201,2,0.205,-0.48555098831914056
BA201,3,0.529,0.042246393954965905
BA201,4,0.272,-0.35651254643305313
BA201,5,0.327,-0.2485139058251731
BA201,6,0.377,-0.17063709034616545
BA201,7,0.413,-0.12425661098684429
BA201,8,0.947,1.0635306971891167
BA202,0,0.761,0.4366916497824559
BA202,1,0.696,0.3527700133323105
BA202,2,0.525,0.041457045786554465
BA202,3,0.392,-0.15406723822633436
BA202,4,0.6,0.16755849914653329
BA202,5,0.692,0.3022846812319491
BA202,6,0.342,-0.2682883741713701
BA202,7,0.429,-0.11285075272386982
BA202,8,0.825,0.5869446250673038
BA203,0,0.315,-0.29465678659336936
BA203,1,0.603,0.16765308251298056
BA203,2,0.77,0.4853180834390062
BA203,3,0.522,0.0570759332156374
BA203,4,0.886,0.7485884480597886
BA203,5,0.811,0.6037059255184803
BA203,6,0.379,-0.17889480553676657
BA203,7,0.204,-0.5148957338342665
BA203,8,0.689,0.32492109228594807
BA204,0,0.703,0.3107895652624223
BA204,1,0.716,0.3675896920597227
BA204,2,0.664,0.2810878591830344
BA204,3,0.519,0.03475208065318432
BA204,4,0.408,-0.13038049537388405
BA204,5,0.399,-0.1771399694146715
BA204,6,0.554,0.09727503589681434
BA204,7,0.797,0.47245340138748443
BA204,8,0.864,0.7164170780262602
BA208,0,0.736,0.3653616730581211
BA208,1,0.555,0.07830243855911806
BA208,2,0.726,0.36104923193634403
BA208,3,0.778,0.5223521129508124
BA208,4,0.571,0.12118964822371885
BA208,5,0.476,-0.03834897066571787
BA208,6,0.68,0.31073344638709927
BA208,7,0.676,0.2660761728203899
BA208,8,0.616,0.19174929708444308
BA209,0,0.662,0.28615806550601647
BA209,1,0.64,0.23456905970916148
BA209,2,0.674,0.29544348833227224
BA209,3,0.692,0.3439303194640504
BA209,4,0.652,0.25570096891635197
BA209,5,0.562,0.10323714903488757
BA209,6,0.689,0.318099589511711
BA209,7,0.673,0.2741084951731137
BA209,8,0.684,0.3034303936580821
BA210,0,0.678,0.3146825220916539
BA210,1,0.666,0.28308584735469294
BA210,2,0.646,0.25010421630485935
BA210,3,0.674,0.26956924587732484
BA210,4,0.646,0.2587291024249191
BA210,5,0.656,0.2732978920288801
BA210,6,0.653,0.26697974536639496
BA210,7,0.669,0.2679855884518548
BA210,8,0.647,0.2584135983079517
BA212,0,0.675,0.2919802551396933
BA212,1,0.681,0.298388128612583
BA212,2,0.67,0.2732578150510393
BA212,3,0.688,0.31636173293331316
BA212,4,0.644,0.205741153524506
BA212,5,0.657,0.2710548092288024
BA212,6,0.656,0.2529326671701391
BA212,7,0.686,0.3154662380545127
BA212,8,0.654,0.2835653991528219
BA213,0,0.687,0.277888228355463
BA213,1,0.511,0.009772431257425088
BA213,2,0.798,0.5318173777057619
BA213,3,0.664,0.2891270804732783
BA213,4,0.622,0.1908831417523061
BA213,5,0.532,0.0490294013242043
BA213,6,0.299,-0.3423450309994404
BA213,7,0.396,-0.14621691685612712
BA213,8,0.804,0.5276767543377476
BA217,0,0.664,0.27227418614127613
BA217,1,0.681,0.308441566944498
BA217,2,0.649,0.26528161185019233
BA217,3,0.69,0.2908231529297311
BA217,4,0.679,0.29780972223932806
BA217,5,0.684,0.30530714646861573
BA217,6,0.668,0.27152377211116996
BA217,7,0.66,0.2322576110029085
BA217,8,0.641,0.25028724906402594
BA224,0,0.669,0.2628975925407869
BA224,1,0.673,0.3020085236408296
BA224,2,0.658,0.2754898630996667
BA224,3,0.665,0.2796754451613611
BA224,4,0.66,0.24320383205236346
BA224,5,0.658,0.2649732799048931
BA224,6,0.66,0.2778917597881913
BA224,7,0.634,0.23223138771256926
BA224,8,0.654,0.2481307086956396
BA230,0,0.465,-0.049052458045074285
BA230,1,0.491,-0.020293534442281127
BA230,2,0.476,-0.010996569829906174
BA230,3,0.444,-0.05697744989913772
BA230,4,0.479,-0.0356719326701616
BA230,5,0.468,-0.026880696231702927
BA230,6,0.51,0.005850361964694282
BA230,7,0.519,0.0047337162063922035
BA230,8,0.611,0.1372193115845678
BA236,0,0.431,-0.09162947533400999
BA236,1,0.544,0.050477107449150065
BA236,2,0.875,0.6867401784068282
BA236,3,0.833,0.6872010476197372
BA236,4,0.577,0.1383421749532269
BA236,5,0.449,-0.07530938922932018
BA236,6,0.48,-0.043603625755597834
BA236,7,0.437,-0.11681301807279058
BA236,8,0.625,0.17741171944668327
BA242,0,0.711,0.3537306807293119
BA242,1,0.679,0.31921000358035007
BA242,2,0.666,0.2641556689468574
BA242,3,0.669,0.2814387888539225
BA242,4,0.568,0.12113334054820873
BA242,5,0.639,0.2282572320884927
BA242,6,0.616,0.20274197033915492
BA242,7,0.708,0.3662750087811347
BA242,8,0.684,0.2836148138806343
BA245,0,0.517,0.010463289622158246
BA245,1,0.449,-0.06108283752098661
BA245,2,0.461,-0.06133588242372126
BA245,3,0.457,-0.05512280995188278
BA245,4,0.475,-0.016506766286513153
BA245,5,0.487,-0.02603464106835176
BA245,6,0.504,0.0007088189311229768
BA245,7,0.515,0.007598053735203916
BA245,8,0.641,0.24429107116885712
BA246,0,0.677,0.2800593433666355
BA246,1,0.682,0.2911582708115128
BA246,2,0.657,0.2535434950775091
BA246,3,0.675,0.28817179113677455
BA246,4,0.639,0.22856891564871762
BA246,5,0.673,0.2885855798560659
BA246,6,0.656,0.25131033848949313
BA246,7,0.678,0.27878383804604906
BA246,8,0.682,0.26686166852704235
BA247,0,0.614,0.1997994953482078
BA247,1,0.493,-0.003124054431308425
BA247,2,0.677,0.30944678277403426
BA247,3,0.628,0.2185745552361627
BA247,4,0.386,-0.18066909223254687
BA247,5,0.324,-0.2991341754347667
BA247,6,0.378,-0.1990178359602134
BA247,7,0.363,-0.1886037306979376
BA247,8,0.902,0.8172935412281153
BA249,0,0.489,-0.013590565519294912
BA249,1,0.498,-0.004400015502280625
BA249,2,0.462,-0.043470550950983546
BA249,3,0.481,-0.030579499727466517
BA249,4,0.472,-0.029884561985446003
BA249,5,0.479,-0.028845409752718144
BA249,6,0.478,-0.03112589145093712
BA249,7,0.485,-0.02201625410289947
BA249,8,0.622,0.16024560156899023
BA250,0,0.614,0.1660303715445598
BA250,1,0.662,0.27064434809692484
BA250,2,0.69,0.3109779675923652
