,precision,recall,f1-score,support
Chinese,0.7969303423848878,0.21510516252390058,0.33877038895859474,3138.0
English,0.23745819397993312,0.06610800744878957,0.10342316096139839,1074.0
Italian,0.14606741573033707,0.09420289855072464,0.1145374449339207,414.0
Korean,0.04776579352850539,0.12916666666666668,0.06974128233970754,240.0
micro avg,0.3957322987390883,0.16769420468557336,0.23556581986143188,4866.0
macro avg,0.3070554364059158,0.12614568379752036,0.15661806929840535,4866.0
weighted avg,0.5811206772086779,0.16769420468557336,0.2544789078069842,4866.0
