,precision,recall,f1-score,support
Sing,0.7279411764705882,0.6917385943279901,0.7093782929399369,2433.0
Speech,0.706342991386061,0.7414714344430744,0.7234810507319029,2433.0
accuracy,0.7166050143855323,0.7166050143855323,0.7166050143855323,0.7166050143855323
macro avg,0.7171420839283247,0.7166050143855323,0.71642967183592,4866.0
weighted avg,0.7171420839283246,0.7166050143855323,0.71642967183592,4866.0
