,precision,recall,f1-score,support
Alto,0.20105509964830012,0.319366852886406,0.24676258992805755,1074.0
Bass,0.08928571428571429,0.07246376811594203,0.08,414.0
Soprano,0.0787011557512383,0.5958333333333333,0.13903743315508021,240.0
Tenor,0.6683217477656405,0.21446781389420014,0.3247285886610374,3138.0
accuracy,0.24434854089601316,0.24434854089601316,0.24434854089601316,0.24434854089601316
macro avg,0.2593409293627233,0.3005329420574704,0.1976321529360438,4866.0
weighted avg,0.48684327673765654,0.24434854089601316,0.2775401390789742,4866.0
